sentence,label_string,label_numeric
"Das bedeutet für uns, breit zu forschen für die beste Form der Energieerzeugung: Brennstoffzelle, Kraftwerke mit klimaneutralen Gasen, Geothermie, Kern energie der vierten und fünften Generation, Small Modular Reactors und Fusionskraftwerke.",Keine Behauptung,0
Gleiches gilt für die Forschung zu Transport und Speicherung.,Keine Behauptung,0
Wasserstoff zum Erfolg führen.,Keine Behauptung,0
Dazu schaffen wir Planungssicherheit und die notwendige Infrastruktur.,Keine Behauptung,0
"Alle Wirtschaftsregionen müssen vom Wasserstoffkernnetz erreicht werden , es darf keine Benachteiligung einzelner Regionen geben .",Behauptung,1
Wir brauchen auch eine große Portion Pragmatismus bei heimischer Erzeugung und internationalen Wasserstoffpartnerschaften.,Behauptung,1
Der Wasserstoffhochlauf wird nur im europäischen Kontext erfolgreich sein.,Behauptung,1
Ja zu marktwirtschaftlichem Klima und Umweltschutz,Keine Behauptung,0
Unser Plan: Klimaziele einhalten.,Keine Behauptung,0
Ressourcen nachhaltig nutzen.,Keine Behauptung,0
Umwelt schutz gemeinsam machen .,Keine Behauptung,0
"Die Ampel hat in drei Jahren mit ihrem ideologischen und planwirtschaftlichen Ansatz gezeigt, wie es nicht geht.",Behauptung,1
Deutschland erlebt eine tiefgreifende De-Industrialisierung.,Behauptung,1
Klimaschutz braucht eine starke Wirtschaft.,Behauptung,1
Klimaschutz geht nur global und gemeinsam mit den Menschen.,Behauptung,1
"Wir sehen uns in der Verantwortung, die Schöpfung zu bewahren.",Keine Behauptung,0
Wir verstehen Nachhaltigkeit umfassend.,Keine Behauptung,0
Pariser Klimaziele einhalten.,Keine Behauptung,0
Die Klimaneutralität bis   haben wir fest im Blick .,Keine Behauptung,0
"Die Erderwärmung ist ein globales Problem , das die Weltgemeinschaft nur gemeinsam lösen kann.",Behauptung,1
Wir verbinden dieses Ziel unbedingt mit dem Erhalt der Wettbewerbsfähigkeit unserer Wirtschaft und der Notwendigkeit der sozialen Tragfähigkeit.,Keine Behauptung,0
Nur so sichern wir die Akzeptanz bei den Menschen und die Chancen auf wirtschaftliches Wachstum .,Behauptung,1
Verantwortung für die Welt übernehmen.,Keine Behauptung,0
Wir unterstützen andere Länder beim Klimaschutz.,Keine Behauptung,0
Dabei setzen wir auf Technologie und Wissenstransfer mit Innovationen „Made in Germany“.,Keine Behauptung,0
Klimaschutz ganzheitlich denken.,Keine Behauptung,0
Klimaschutz und Klimaanpassung sind zwei Seiten einer Medaille.,Behauptung,1
In allen Bereichen unseres gesellschaftlichen Lebens müssen wir uns an die sich ändernden Bedingungen anpassen.,Behauptung,1
Das gilt etwa für den Städtebau und den Gesundheitssektor.,Keine Behauptung,0
Der nachhaltige Umgang mit dem Klimawandel ist stets im Einklang mit der Emissionsreduktion und einer Kohlenstoffkreislaufführung zu sehen.,Behauptung,1
"Klimaanpassung ist Querschnittsaufgabe und tut gut daran, auf naturbasierte Lösungen zu setzen, die die Landschaft widerstandsfähiger und damit sicherer machen.",Behauptung,1
Das ist auch im Hinblick auf Hochwasserschutz umzusetzen.,Behauptung,1
Unsere Kommunen verantworten vielfach die Umsetzung der Maßnahmen für Klimaschutz und Klimaanpassung.,Behauptung,1
"Für mehr Synergien stärken wir die Partnerschaft von Bund, Länder n und Kommunen und klären die langfristige Finanzierung.",Keine Behauptung,0
"Richtig umgesetzt, ist er als marktwirtschaftliches Instrument in der Lage, die Emissionsmenge effizient zu begrenzen und das Klima bestmöglich zu schützen .",Behauptung,1
Die CO2 -Bepreisung bauen wir im Instrumentenmix zum Leitinstrument aus und geben deren Einnahmen an Verbraucher und Wirtschaft zurück.,Keine Behauptung,0
"Der Markt soll darüber entscheiden, wo und wie Emissionen vermieden werden.",Keine Behauptung,0
"Das ist unser Weg: CO2 einsparen, wo es am effizientesten ist.",Keine Behauptung,0
Emissionshandel international voranbringen.,Keine Behauptung,0
Wir wollen ihn in der EU durch schrittweise Einbeziehung aller Sektoren mit ihren energiebedingten Emissionen als zentrales Klimainstrument stärken.,Keine Behauptung,0
Globale Herausforderungen brauchen globale Partnerschaften.,Behauptung,1
Auf dem Weg zu international vergleichbaren Standards setzen wir auf Kooperationen wie Klima und Energiepartnerschaften und den Schutz vor Verlagerungen von CO2 -Emissionen.,Keine Behauptung,0
Kohlenstoffmärkte für den internationalen Handel von Emissionsminderungen unterstützen und nutzen wir.,Keine Behauptung,0
• CO2 -Kreislaufwirtschaft etablieren.,Keine Behauptung,0
Wir setzen auf eine umfassende CO2 -Kreislaufwirtschaft mit natürlicher und technischer CO2 -Nutzung und Speicherung.,Keine Behauptung,0
"Wir schaffen die notwendigen Rahmenbedingungen, um Carbon Capture and Utilization (CCU) , Carbon Capture and Storage (CCS) und Direct Air Capture (DA CCS) sowie die erforderliche Transportinfrastruktur zu ermöglichen.",Keine Behauptung,0
Investitionen in Klimatechnologien und Energieeffizienz sollen künftig steuerlich deutlich schneller und besser abgesetzt werden können.,Keine Behauptung,0
"Um Verbraucher und Unternehmen schnell und effizient mit einem sozialen Ausgleich zu entlasten, schaffen wir einen Klimabonus .",Keine Behauptung,0
Wir reduzieren mit den CO2 -Einnahmen zuerst die Stromsteuer und Netzentgelte.,Keine Behauptung,0
Höhere Belastung en durch steigende CO2 -Abgaben m üssen auch zu höheren Entlastungen führen .,Behauptung,1
Ressourcen nachhaltig nutzen,Keine Behauptung,0
"Unser Auftrag ist, mit den uns gegebenen Ressourcen schonend und effizient umzugehen .",Keine Behauptung,0
"Es geht um unsere wirtschaftliche Souveränität, Nachhaltigkeit und Generationengerechtigkeit , um unseren Lebensstil und Wohlstand.",Keine Behauptung,0
Wir denken in Kreisläufen und reduzieren den Ressourcenverbrauch.,Keine Behauptung,0
"Unsere Aufgabe ist es, Stoffkreisläufe zu schließen – bei Stoffen, aber auch bei Wasser, Wärme oder Kohlenstoff.",Keine Behauptung,0
Gleichzeitig stärken wir die „Shared Economy“.,Keine Behauptung,0
Technologie und materialoffen recyceln.,Keine Behauptung,0
"Dazu bauen wir rechtliche Hemmnisse ab , setzen auf Modularität und innovatives Produktdesign und ermöglichen einen breiten Technologiemix.",Keine Behauptung,0
"Umwelt schutz gemeinsam machen Umweltpolitik bedeutet für uns, Wasser, Boden und Luft in den Blick zu nehmen und unsere Biodiversität zu schützen.",Keine Behauptung,0
"Der Erhalt der natürlichen Lebensgrundlagen, von Lebensräumen und Arten ist von zentraler Bedeutung.",Behauptung,1
• Arten und Lebensräume erhalten.,Keine Behauptung,0
Wir schützen bedrohte Arten und deren Lebensräume.,Keine Behauptung,0
Hierfür werten wir Schutzgebiete qualitativ auf und stärken die Vernetzung der Lebensräume.,Keine Behauptung,0
"Moderner Artenschutz erfordert eine regelmäßige Überprüfung der geltende n Schutzvorschriften, damit das Gleichgewicht der Arten gewahrt bleibt.",Behauptung,1
• Moore schützen und wiedervernässen.,Keine Behauptung,0
Moore sind unverzichtbare CO -Senken.,Behauptung,1
Wir wollen den Schutz der Moore gemeinsam mit den Grundstückseigentümern intensivieren und Anreize für Wiedervernässungsprojekte geben .,Keine Behauptung,0
"Wir erhalten Meere als widerstandsfähige Ökosysteme und ermöglichen eine integrierte, naturverträgliche Nutzung für Transport, Energie und Militär.",Keine Behauptung,0
Gleiches gilt für das Fangen von Fischen und Meeresfrüchten .,Keine Behauptung,0
"Wir machen uns dafür stark, dass die Meeresschutzabkommen weiterentwickelt werden.",Keine Behauptung,0
Ein besonderes Anliegen ist uns der Kampf gegen die Verschmutzung der Meere sowie gegen Munitionsaltlasten in der Nord und Ostsee.,Keine Behauptung,0
Hochwasser und Küstenschutz schützt Leben.,Behauptung,1
"Um die Menschen in gefährdeten Regionen zu schützen, hat für uns der Küsten und Hochwasserschutz Priorität .",Keine Behauptung,0
Wir wollen weg von der Ausgleichspflicht für Maßnahmen des Küsten und Hochwasserschutzes.,Keine Behauptung,0
Extremwetter -Ereignisse nehmen in Deutschland stark zu.,Behauptung,1
Eine flächendeckende Pflichtversicherung für Elementarschäden ist die richtige finanzielle Schadensvorsorge.,Behauptung,1
Wir werden sie deshalb einführen und so die Lasten im Sinne der Steuerzahler gerecht verteilen.,Keine Behauptung,0
"Wir unterstützen Land und Forstwirte, Waldbesitzer, Jäger und Fischer dabei, die Ökosysteme und ihre Leistungen zu erhalten.",Keine Behauptung,0
"Ein Ansatz ist der Naturschutz auf Zeit, der im Einklang mit allen Nutzergruppen aufgesetzt wird.",Behauptung,1
Dafür erhöhen wir das Bewusstsein und sorgen mit den Ländern und Kommunen für einen guten ökologischen Zustand unserer Gewässer.,Keine Behauptung,0
"Unsere hochwertigen und wertvollen Trink -, Mineral -, Heil und Grundwasservorkommen schützen wir besonders.",Keine Behauptung,0
"Unser Augenmerk gilt dabei besonders Regionen, die zunehmend von Trockenheit betroffen sind.",Keine Behauptung,0
Für eine sichere Verund Entsorgung nutzen wir auch digitale Lösungen.,Keine Behauptung,0
Zur Reinhaltung unserer Gewässer setzen wir auf das Verursacherprinzip.,Keine Behauptung,0
Wir nutzen Flächen an Land und Gewässer nachhaltig.,Keine Behauptung,0
"Dazu reduzieren wir die Flächenversiegelung, unterstützen die kluge Flächennutzung durch Doppel und Mehrfachnutzungen und verbessern die Ausgleichsmaßnahmen.",Keine Behauptung,0
Hier braucht es innovative Ansätze.,Behauptung,1
Perund polyfluorierte Chemikalien (PFAS) nicht grundsätzlich verbieten.,Keine Behauptung,0
Wir schützen Gesundheit und Umwelt und sichern zudem die Verfügbarkeit notwendiger Chemikalien.,Keine Behauptung,0
Dafür verfolgen wir einen risikobasierten Ansatz.,Keine Behauptung,0
"Pauschalverbote von aktuell nicht austauschbaren Stoffen, die für unsere Gesundheit, unsere Daseinsvorsorge u nd auch für unser Wirtschaften elementar sind, lehnen wir ab.",Keine Behauptung,0
Wir investieren stattdessen in die Forschung für Ersatzstoffe und geschlossene Kreisläufe .,Keine Behauptung,0
"Umweltverschmutzung , illegaler Tierhandel, illegale Tötung und Qual von Tieren sind Straftaten, die genauso konsequent bestraft werden müssen .",Behauptung,1
Die Regeln für den Handel mit internationalen Umwelt und Klimazertifikaten entwickeln wir weiter.,Keine Behauptung,0
Den Prozess der Endlagersuche beschleunigen wir durch Anpassungen und schließen geologisch ungeeignete Regionen schneller aus.,Keine Behauptung,0
"Ja zu Forschung, Innovationen und neue n Technologie n",Keine Behauptung,0
Unser Plan: Mit Innovationen und Technologie n durchstarten.,Keine Behauptung,0
Potenziale der Digitalisierung und Künstlichen Intelligenz heben.,Keine Behauptung,0
Mit Innovationen und Technologien durchstarten,Keine Behauptung,0
"Die öffentliche Debatte kreist oft um die Frage, wie wir in Deutschland leben wollen.",Keine Behauptung,0
"Wir müssen aber vor allem die Frage beantworten, wovon wir künftig leben wollen.",Keine Behauptung,0
Wir brauchen eine Hightech -Agenda für Deutschland.,Keine Behauptung,0
"Denn Investitionen in Forschung, Innov ationen , Technologien und Transfer (FIT T) sind der Schlüssel zu einer wettbewerbsfähigen Wirtschaft mit gut bezahlten Arbeitsplätzen.",Behauptung,1
